
itm_no_item|인식불가능한 아이템
itm_no_item_pl|인식불가능한 아이템
itm_tutorial_spear|창
itm_tutorial_spear_pl|창
itm_tutorial_club|몽둥이
itm_tutorial_club_pl|몽둥이
itm_tutorial_battle_axe|전투 도끼
itm_tutorial_battle_axe_pl|전투 도끼
itm_tutorial_arrows|화살
itm_tutorial_arrows_pl|화살
itm_tutorial_bolts|볼트
itm_tutorial_bolts_pl|볼트
itm_tutorial_short_bow|단궁
itm_tutorial_short_bow_pl|단궁
itm_tutorial_crossbow|쇠뇌
itm_tutorial_crossbow_pl|쇠뇌
itm_tutorial_throwing_daggers|투척용 단검
itm_tutorial_throwing_daggers_pl|투척용 단검
itm_tutorial_saddle_horse|승용마
itm_tutorial_saddle_horse_pl|승용마
itm_tutorial_shield|라운드 실드
itm_tutorial_shield_pl|라운드 실드
itm_tutorial_staff_no_attack|장봉
itm_tutorial_staff_no_attack_pl|장봉
itm_tutorial_staff|장봉
itm_tutorial_staff|장봉
itm_tutorial_sword|검
itm_tutorial_sword_pl|검
itm_tutorial_axe|도끼
itm_tutorial_axe_pl|도끼
itm_tutorial_dagger|단검
itm_tutorial_dagger_pl|단검
itm_horse_meat|말고기
itm_horse_meat_pl|말고기
itm_practice_sword|연습용 검
itm_practice_sword_pl|연습용 검
itm_heavy_practice_sword|연습용 대검
itm_heavy_practice_sword_pl|연습용 대검
itm_practice_dagger|연습용 단검
itm_practice_dagger_pl|연습용 단검
itm_practice_axe|도끼
itm_practice_axe_pl|도끼
itm_arena_axe|도끼
itm_arena_axe_pl|도끼
itm_arena_sword|검
itm_arena_sword_pl|검
itm_arena_sword_two_handed|양손 대검
itm_arena_sword_two_handed_pl|양손 대검
itm_arena_lance|랜스
itm_arena_lance_pl|랜스
itm_practice_staff|연습용 스태프
itm_practice_staff_pl|연습용 스태프
itm_practice_lance|연습용 랜스
itm_practice_lance_pl|연습용 랜스
itm_practice_shield|연습용 쉴드
itm_practice_shield_pl|연습용 쉴드
itm_practice_bow|연습용 활
itm_practice_bow_pl|연습용 활
itm_practice_crossbow|연습용 석궁
itm_practice_crossbow_pl|연습용 석궁
itm_practice_javelin|연습용 투창
itm_practice_javelin_pl|연습용 투창
itm_practice_javelin_melee|연습용 자벨린 근접
itm_practice_javelin_melee_pl|연습용 자벨린 근접
itm_practice_throwing_daggers|투척용 단검
itm_practice_throwing_daggers_pl|투척용 단검
itm_practice_throwing_daggers_100_amount|투척용 단검
itm_practice_throwing_daggers_100_amount_pl|투척용 단검
itm_practice_horse|연습용 말
itm_practice_horse_pl|연습용 말
itm_practice_arrows|연습용 화살
itm_practice_arrows_pl|연습용 화살
itm_practice_bolts|연습용 석궁 화살
itm_practice_bolts_pl|연습용 석궁 화살
itm_practice_arrows_10_amount|연습용 화살
itm_practice_arrows_10_amount_pl|연습용 화살
itm_practice_arrows_100_amount|연습용 화살
itm_practice_arrows_100_amount_pl|연습용 화살
itm_practice_bolts_9_amount|연습용 석궁 화살
itm_practice_bolts_9_amount_pl|연습용 석궁 화살
itm_practice_boots|연습용 부츠
itm_practice_boots_pl|연습용 부츠
itm_arena_shield_red|방패
itm_arena_shield_red_pl|방패
itm_arena_shield_blue|방패
itm_arena_shield_blue_pl|방패
itm_arena_shield_green|방패
itm_arena_shield_green_pl|방패
itm_arena_shield_yellow|방패
itm_arena_shield_yellow_pl|방패
itm_arena_armor_white|방어구 흰색
itm_arena_armor_white_pl|방어구 흰색
itm_arena_armor_red|방어구 붉은색
itm_arena_armor_red_pl|방어구 붉은색
itm_arena_armor_blue|방어구 푸른색
itm_arena_armor_blue_pl|방어구 푸른색
itm_arena_armor_green|방어구 초록색
itm_arena_armor_green_pl|방어구 초록색
itm_arena_armor_yellow|방어구 노란색
itm_arena_armor_yellow_pl|방어구 노란색
itm_arena_tunic_white|튜닉 흰색
itm_arena_tunic_white_pl|튜닉 흰색
itm_arena_tunic_red|튜닉 붉은색
itm_arena_tunic_red_pl|튜닉 붉은색
itm_arena_tunic_blue|튜닉 푸른색
itm_arena_tunic_blue_pl|튜닉 푸른색
itm_arena_tunic_green|튜닉 초록색
itm_arena_tunic_green_pl|튜닉 초록색
itm_arena_tunic_yellow|튜닉 노란색
itm_arena_tunic_yellow_pl|튜닉 노란색
itm_arena_helmet_red|머리보호구
itm_arena_helmet_red_pl|머리보호구
itm_arena_helmet_blue|머리보호구
itm_arena_helmet_blue_pl|머리보호구
itm_arena_helmet_green|머리보호구
itm_arena_helmet_green_pl|머리보호구
itm_arena_helmet_yellow|머리보호구
itm_arena_helmet_yellow_pl|머리보호구
itm_steppe_helmet_white|머리보호구
itm_steppe_helmet_white_pl|머리보호구
itm_steppe_helmet_red|모자 붉은색
