
p_burning_buildings|당신이 불의 버그를 본다면, 보고하십시오.
p_ship_colisions|당신이 충돌 버그를 본다면, 보고하십시오.
p_zendar|젠다 
p_town_1|걸타운
p_town_2|케이시
p_town_3|배로우톤
p_town_4|선스피어
p_town_5|리버런 
p_town_6|킹스랜딩
p_town_7|파이크
p_town_8|윈터펠
p_town_9|시스터톤
p_town_10|라니스포트
p_town_11|드래곤스톤
p_town_12|화이트 하버
p_town_13|캐슬 블랙
p_town_14|메이든 폴
p_town_15|해로웨이
p_town_16|티로시
p_town_17|미르
p_town_18|솔트팬스
p_town_19|리스
p_town_20|페어마켓
p_town_21|아버
p_town_22|올드 타운
p_town_23|애쉬포드
p_town_24|플랭키 타운
p_town_25|바이스
p_town_26|펜토스
p_town_27|더스켄데일
p_town_29|스토니 셉트
p_town_30|로라스
p_town_31|프로스트팽 산맥 캠프
p_town_32|텐 족 캠프
p_town_33|노르보스
p_town_34|리버 딥
p_town_35|쿼호르
p_town_36|볼란티스
p_town_37|볼론 테리스
p_town_38|발리사르
p_town_39|셀호리스
p_town_40|위핑 타운
p_town_41|하이가든
p_town_42|브라보스
p_castle_1|드레드포트
p_castle_2|레이븐트리 홀
p_castle_3|위도우스 워치
p_castle_4|하드홈
p_castle_5|카홀드
p_castle_6|올드 캐슬
p_castle_7|그레이워터 워치
p_castle_8|라스트 하스
p_castle_9|딥우드 모트 
p_castle_10|톨헨스 스퀘어
p_castle_11|플린트 핑거
p_castle_12|모트 케일린
p_castle_13|윌
p_castle_14|하츠 홈
p_castle_15|피의 관문
p_castle_16|스트롱송
p_castle_17|룬스톤
p_castle_18|콜드 워터
p_castle_19|아이언오크스
p_castle_20|레드포트
p_castle_21|롱보우 홀
p_castle_22|최초인의 주먹
p_castle_23|위켄 덴
p_castle_24|베어 아일랜드
p_castle_25|스톰즈 엔드
p_castle_26|이븐폴 홀
p_castle_27|커윈 성
p_castle_28|이어리
p_castle_29|샤프 포인트
p_castle_30|스톤 댄스
p_castle_31|히스텍 홀
p_castle_32|브론즈 게이트
p_castle_33|펠우드
p_castle_34|그리핀 루스트
p_castle_35|까마귀의 둥지
p_castle_36|스톤헬름
p_castle_37|미스트우드
p_castle_38|그린스톤
p_castle_39|쌍둥이 성
p_castle_40|나이트송
p_castle_41|아콘 홀
p_castle_42|허니홀트
p_castle_43|핑크메이든 성
p_castle_44|혼 힐
p_castle_45|롱테이블
p_castle_46|그레이시 베일
